SMILES,score,lambda_nm,qed,sa,scscore,rascore,clean,step,pass_baseline,pass_sa,pass_scscore,pass_synth
O=S(=O)([O-])CCCC[n+]1c(C=Cc2ccc(-c3ccc(Cl)cc3)cc2)c2ccccc2c2ccccc21,0.9116068,470.3401,0.0935,2.9282,4.391476289525578,,True,3,True,True,False,False
O=C1NC(=O)C(=Cc2cc([N+](=O)[O-])c([N+](=O)[O-])cc2N2CCC(O)CC2)C(=O)N1,0.9460168,462.7321,0.2725,2.9087,3.047810323699336,,True,5,True,True,False,False
CCOn1nc2cc(C=C3C(=O)c4ccccc4-c4ccccc43)sc2c1-c1ccc(-c2ccccc2)s1,0.9358115,452.8999,0.2105,3.0852,4.2492711593814185,,True,5,True,True,False,False
CN1COc2cc(O)c3cc4c(c(O)c3c2C1)C(=O)c1ccccc1C4=O,0.947469,479.065,0.5008,2.8925,3.901643760546534,,True,5,True,True,False,False
COc1cc(=O)c2ccc3cccc4ccc(c1)c2c43,0.9680443,458.1457,0.5177,2.0622,2.559914319515447,,True,9,True,True,True,True
CCn1c2ccccc2c2ccc(N3Cc4c5c(c6oc(=O)ccc6c4C3=O)C(=O)CC5=O)cc21,0.9463869,461.6781,0.2764,3.0299,4.767261198101526,,True,9,True,True,False,False
Cn1c(=C(C#N)C#N)sc(=Cc2cccc(N(c3ccccc3)c3ccc(-c4nc5ccccc5s4)s3)c2)c1=O,0.9426932,459.8603,0.2423,3.1658,4.593858807906573,,True,9,True,True,False,False
COc1ccc(C(C=Cc2ccc3c(c2)OCO3)=C(C#N)C#N)cc1OC,0.9677983,453.9991,0.5929,2.6248,2.6411500032323945,,True,10,True,True,True,True
Cc1nc2cccc2c2c3c4cccc5cccc(c6ccccc6c=3n12)c54,0.9470502,451.0412,0.3065,2.5828,3.865845093316172,,True,10,True,True,False,False
c1ccc(N2c3ccccc3C3(c4ccccc4-c4ccccc43)c3cc(-c4ccc(N(c5ccccc5)c5ccccc5)c5nsnc45)ccc32)cc1,0.9274502,470.069,0.1782,3.5125,4.926394018848407,,True,11,True,True,False,False
C=C(c1ccc(N2CCOCC2)cc1)c1cc(C(=C)C#N)c(NC(=O)c2ccccc2)c(-c2c3cc(NC(C)C)ccc3cc3ccc(N(CC)CC)cc23)c1,0.9116267,468.7058,0.0961,3.4627,4.999991784862289,,True,11,True,True,False,False
CCCCOc1ccc(C=C2C(=O)N=c3sc4ccccc4c3=NC2=O)cc1OCC,0.9452882,471.7029,0.3213,2.7897,4.073509043108413,,True,11,True,True,False,False
Cc1cc(C)c2oc(=O)c3c(c2c1)NC(=Cc1cc(C=Cc2ccc(-c4ncccn4)cc2)ccc1O)C=C3c1ccccc1,0.9260769,452.137,0.1551,3.2768,4.813523049112222,,True,12,True,True,False,False
CN=CC(c1ccccc1)=c1nnc(=Cc2nc3c(C#N)c(F)ccc3n2C)n1C,0.9589545,455.7612,0.4882,3.7068,4.408506646848524,,True,13,True,True,False,False
CC(C)(C)c1ccc(O)c(N=Cc2ccc(C=Nc3ccc(N=Nc4ccc(Nc5ccccc5)c5ccccc45)cc3)cn2)c1,0.9200743,471.0254,0.134,3.1535,4.210864483113186,,True,13,True,True,False,False
Cc1ncccc1-c1ccc2c(c1)C1(C3=C(C2=O)c2cc([N+](=O)[O-])ccc2C3=O)c2ccccc2-c2ccccc21,0.9325533,457.5676,0.1783,3.3433,4.1324046094131335,,True,13,True,True,False,False
CN(C)c1c2c(c(-c3ccc(Cc4ccc5c(c4)[n+](=O)c4ccc(OCC#N)cc4n5C)cc3)c3ccccc13)C1CCC2CC1,0.9235456,462.5863,0.1413,4.0124,4.990689692945328,,True,14,True,False,False,False
O=CN1c2ccc(C=C3C(=O)NC(=O)NC3=O)cc2CC1C(=O)Nc1ccc(C(=O)C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,0.9022474,466.951,0.0668,3.6384,4.795225522835119,,True,14,True,True,False,False
CN(C)c1ccc(C=C2C(=O)c3ccccc3C2=Cc2ccccc2C#N)cc1,0.9619138,472.7317,0.5714,2.4757,2.984219851594036,,True,14,True,True,True,True
CN(C)c1ccc(-c2ccc(-n3cnc4ccccc43)c3c(=O)cc4ccccc4nc23)cc1,0.951199,468.3072,0.3465,2.5362,4.56407845289457,,True,14,True,True,False,False
CN1C2=C(Cl)C(=C=C3c4ccccc4-c4ccccc43)CCC2=Cc2ccccc21,0.9428354,467.2055,0.2753,3.2124,3.3525271514031183,,True,15,True,True,False,False
CCc1cc(N2CCCCC2)cc2nc3ccccc3c(C#N)c12,0.9696053,467.6553,0.637,2.4276,4.682468006560399,,True,15,True,True,False,False
CN(C)c1ccc(-c2c3ccccc3c(-c3cc4c([nH]3)sc3c4c(=Cc4cccc5ccccc45)c(=O)n4c5ccccc5nc34)c3ccccc23)cc1,0.927607,471.6042,0.1849,3.3891,4.999539347048068,,True,15,True,True,False,False
N#CC(C#N)=c1c(=C(c2ccccc2)c2ccc(N(c3ccccc3)c3ccccc3)cc2)c2ccccc2n1-c1ccc(-c2ccc(-n3c(-c4ccc(-c5nc(-c6ccc(-c7oc(-c8ccccc8)nc7-c7ccccc7)cc6)c6ccccc6n5)cc4)nc4ccccc43)cc2)c2ccccc12,0.9094065,451.3882,0.1054,4.7839,4.99999996574493,,True,15,True,False,False,False
CN(C)c1cc2c(-c3ccc(C(C)(C)C)cc3)c3cc(N4CCCC(Nc5ccc(C#N)cn5)C4)ccc3nc2cc1-c1ccc(C(F)(F)F)cc1,0.9317687,459.655,0.1747,3.6095,4.999906874043148,,True,15,True,True,False,False
CCN(CC)c1ccc(C=Cc2cc3c(c(=O)n(C)c(=O)n3C)n2N=Cc2c3ccccc3cc3ccccc23)cc1,0.9335298,460.3501,0.173,3.061,4.711720273308516,,True,16,True,True,False,False
[C-]#[N+]c1cc2ccc3c(c2cc1C#N)C(=O)c1cc(-c2ccc(N(C)C)cc2)ccc1-3,0.9427336,474.7843,0.3318,2.8067,4.887514122697053,,True,16,True,True,False,False
[C-]#[N+]c1ccc2cc3nc(-n4c5ccccc5c5c6ccccc6ccc54)nnc3cc2c1,0.9349647,469.9815,0.2122,2.8257,4.675517399708992,,True,16,True,True,False,False
CCc1nc2c(c(=O)c(C(=O)Nc3ccc(Oc4ccccc4)cc3)cn2CC)c2nc3ccccc3nc12,0.9391577,455.6905,0.2119,2.6553,4.702243988492011,,True,17,True,True,False,False
O=C1c2ccccc2-c2c(N(c3ccccc3)c3ccccc3)cc3c(-c4ccccc4)nc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)c(-c4ccc(-c5nc(-c6ccccc6)nc(-c6ccccc6)n5)cc4)c3c21,0.9064112,478.5592,0.1207,3.537,4.842946801117842,,True,17,True,True,False,False
Cc1cc2c(-c3ccc(-c4c5ccccc5c(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)c5ccccc45)s3)sc(-c3ccc(-c4ccc5c(c4)C(C)(C4CC4)N5)s3)c2s1,0.9231913,463.7707,0.1453,4.1768,4.965400441706086,,True,18,True,False,False,False
N=C1C([n+]2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)=CC(c2ccccc2)c2ccccc21,0.9371758,461.7887,0.2098,3.3984,4.0597347708944,,True,18,True,True,False,False
COc1cc(-c2ccc(N=Nc3c4ccccc4cc4cc(N(C)C)ccc34)cc2)ccc1N=Nc1ccc(N(C)C)cc1,0.9195618,472.0438,0.1333,2.9989,3.8350747904577034,,True,18,True,True,False,False
